code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
HER,11.0,4.0,13.0,1.02675,3.4024,41.46684,44.86924,,129,13.06838,0.02472,0.82508,Hertha Berlin,1.43568,0.0,0.0,74051,5.66752,0.0,15.2641,2017-04-12 20:42
FRA,10.0,8.0,10.0,0.94575,-3.33846,37.75,34.41154,,125,12.4568,0.00034,0.20166,Eintracht Frankfurt,1.30609,0.0,0.00038,74052,9.5974,0.0,11.9458,2017-04-12 20:42
HSV,13.0,6.0,9.0,1.21852,-23.37348,59.15086,35.77738,,127,15.30294,0.0,0.01902,Hamburg SV,1.39244,0.0,0.0469,78530,7.5431,0.0,11.15396,2017-04-12 20:42
FRE,11.0,5.0,12.0,1.27076,-15.05074,57.97728,42.92654,,126,13.97748,0.00076,0.38698,SC Freiburg,1.4917,0.0,0.0,74053,6.32902,0.0,13.6935,2017-04-12 20:42
MNZ,15.0,5.0,8.0,1.1823,-14.52662,56.78162,42.255,,2950,17.8352,0.0,0.0001,Mainz,1.42305,0.0,0.3076,74062,6.46778,0.0,9.69702,2017-04-12 20:42
ING,16.0,4.0,8.0,1.22993,-17.40666,56.40632,38.99966,,6367,18.54344,0.0,0.0002,FC Ingolstadt 04,1.58589,0.0,0.38176,79434,5.52572,0.0,9.93084,2017-04-12 20:42
BRE,12.0,6.0,10.0,1.27454,-5.55514,57.91296,52.35782,,137,14.55136,2e-05,0.1094,Werder Bremen,1.7774,0.0,0.0025,74042,7.38326,0.0,12.06538,2017-04-12 20:42
BMU,2.0,5.0,21.0,0.54693,69.51226,18.91692,88.42918,,132,2.5069,1.0,0.0,Bayern Munich,2.97044,0.99998,0.0,74078,5.75256,0.99998,25.74054,2017-04-12 20:42
DRM,21.0,3.0,4.0,1.5524,-44.3475,68.38222,24.03472,,3812,24.64304,0.0,0.0,SV Darmstadt 98,1.09886,0.0,1.0,74070,4.26244,0.0,5.09452,2017-04-12 20:42
MGB,11.0,6.0,10.0,1.00289,-2.21952,42.63418,40.41466,,268,13.45664,0.00096,0.33166,Borussia Monchengladbach,1.56854,0.0,0.00096,74048,7.77968,0.0,12.76368,2017-04-05 19:57
WLF,13.0,6.0,8.0,1.0949,-13.6005,47.83334,34.23284,,138,15.91204,0.0,0.01076,VfL Wolfsburg,1.5732,0.0,0.14202,74046,7.86522,0.0,10.22274,2017-04-05 19:57
DOR,5.0,8.0,14.0,0.84413,37.01386,34.90564,71.9195,,124,6.48678,0.99554,0.00446,Borussia Dortmund,2.49627,0.0,0.0,74050,9.29348,0.0,18.21974,2017-04-05 19:57
AUG,12.0,8.0,7.0,1.28419,-22.06062,54.53786,32.47724,,3841,15.73352,0.0,0.00064,FC Augsburg,1.26231,0.0,0.44476,74082,9.7491,0.0,8.51738,2017-04-05 19:57
