code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
NAP,1.0,2.0,3.0,0.81221,3.0,B,1.0,0.0,0.0,0.0,114,1.0,0.0,0.0,1.0,0.0,Napoli,2.44334,73848,2.0,0.0,3.0,0.0,1.0,2017-05-07 16:54
LUD,3.0,3.0,0.0,0.96754,-9.0,A,0.0,0.0,1.0,0.0,13018,3.0,0.0,0.0,0.0,0.0,Ludogorets,1.64795,103285,3.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
BAR,1.0,0.0,5.0,0.74399,16.0,C,1.0,0.0,0.0,0.0,83,1.0,0.0,1.0,1.0,0.0,Barcelona,3.4302,74014,0.0,0.0,5.0,0.0,1.0,2017-05-07 16:54
JUV,0.0,2.0,4.0,0.50267,9.0,H,1.0,0.0,0.0,0.0,111,0.0,0.97384,1.0,1.0,1.0,Juventus,2.24024,73847,2.0,0.44346,4.0,0.44346,1.0,2017-05-07 16:54
KIEV,3.0,2.0,1.0,0.80262,2.0,B,0.0,0.0,0.0,1.0,440,3.0,0.0,0.0,0.0,0.0,Dynamo Kiev,1.92951,74217,2.0,0.0,1.0,0.0,0.0,2017-05-07 16:54
BMU,2.0,0.0,4.0,0.60318,8.0,D,0.0,1.0,0.0,0.0,132,2.0,0.0,1.0,1.0,0.0,Bayern Munich,2.91786,74078,0.0,0.0,4.0,0.0,1.0,2017-05-07 16:54
COP,1.0,3.0,2.0,1.04018,5.0,G,0.0,0.0,1.0,0.0,909,1.0,0.0,0.0,0.0,0.0,FC Copenhagen,1.28719,72960,3.0,0.0,2.0,0.0,0.0,2017-05-07 16:54
MGB,3.0,2.0,1.0,1.09541,-7.0,C,0.0,0.0,1.0,0.0,268,3.0,0.0,0.0,0.0,0.0,Borussia Monchengladbach,1.70048,74048,2.0,0.0,1.0,0.0,0.0,2017-05-07 16:54
WAR,4.0,1.0,1.0,1.53239,-15.0,F,0.0,0.0,1.0,0.0,555,4.0,0.0,0.0,0.0,0.0,Legia Warsaw,1.61261,73949,1.0,0.0,1.0,0.0,0.0,2017-05-07 16:54
SCP,5.0,0.0,1.0,0.8532,-3.0,F,0.0,0.0,0.0,1.0,2250,5.0,0.0,0.0,0.0,0.0,Sporting CP,1.70553,74330,0.0,0.0,1.0,0.0,0.0,2017-05-07 16:54
